,Date,Chicago,Opponent,Quarter,Time,Score,Team,Action,Substitution,Player,Lineup,Points,Game
15,"November 9, 2021",Home,Carthage,1,07:04,6-4,Home,"VAN SOEST,PEYTON made 3-pt. jump shot",0,Peyton Soest,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",3,1
16,"November 9, 2021",Home,Carthage,1,07:04,6-4,Home,"Assist by SHAW,ELIZABETH",0,Elizabeth Shaw,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
17,"November 9, 2021",Home,Carthage,1,06:42,6-4,Home,"Foul by VAN SOEST,PEYTON",0,Peyton Soest,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
18,"November 9, 2021",Home,Carthage,1,06:32,6-4,Away,"ESTER,AYANNA missed jump shot",0,Ayanna Ester,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
19,"November 9, 2021",Home,Carthage,1,06:29,6-4,Home,"STEFFENS,KLAIRE defensive rebound",0,Klaire Steffens,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
20,"November 9, 2021",Home,Carthage,1,06:14,6-4,Home,"STEFFENS,KLAIRE missed jump shot",0,Klaire Steffens,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
21,"November 9, 2021",Home,Carthage,1,06:13,6-4,Home,"STEFFENS,KLAIRE offensive rebound",0,Klaire Steffens,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
22,"November 9, 2021",Home,Carthage,1,06:13,6-4,Away,"Foul by BARRETT,BRIDGET",0,Bridget Barrett,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes",0,1
23,"November 9, 2021",Home,Carthage,1,06:13,6-4,Home,"GROSS,ELLIE enters the game",1,Ellie Gross,"Klaire Steffens, Mallory Brodnik, Elizabeth Shaw, Peyton Van Soest, Grace Hynes, Ellie Gross",0,1
24,"November 9, 2021",Home,Carthage,1,06:13,6-4,Home,"SHAW,ELIZABETH goes to the bench",1,Elizabeth Shaw,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross",0,1
25,"November 9, 2021",Home,Carthage,1,06:13,6-4,Away,"THISTLE,EMMA enters the game",1,Emma Thistle,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross",0,1
26,"November 9, 2021",Home,Carthage,1,06:13,6-4,Away,"ESTER,AYANNA goes to the bench",1,Ayanna Ester,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross",0,1
27,"November 9, 2021",Home,Carthage,1,06:05,6-4,Home,Turnover by TEAM,0,,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross",0,1
28,"November 9, 2021",Home,Carthage,1,06:00,6-4,Home,"Foul by GROSS,ELLIE",0,Ellie Gross,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross",0,1
29,"November 9, 2021",Home,Carthage,1,06:00,6-5,Away,"KNIGHT,LAUREN made free throw",0,Lauren Knight,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross",1,1
30,"November 9, 2021",Home,Carthage,1,06:00,6-6,Away,"KNIGHT,LAUREN made free throw",0,Lauren Knight,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross",1,1
31,"November 9, 2021",Home,Carthage,1,05:52,6-6,Home,"VAN SOEST,PEYTON missed 3-pt. jump shot",0,Peyton Soest,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross",0,1
32,"November 9, 2021",Home,Carthage,1,05:48,6-6,Home,"BRODNIK,MALLORY offensive rebound",0,Mallory Brodnik,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross",0,1
33,"November 9, 2021",Home,Carthage,1,05:28,6-6,Home,Turnover by TEAM,0,,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross",0,1
34,"November 9, 2021",Home,Carthage,1,05:28,6-6,Home,"POWE,MARISSA enters the game",1,Marissa Powe,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe",0,1
35,"November 9, 2021",Home,Carthage,1,05:28,6-6,Home,"VAN SOEST,PEYTON goes to the bench",1,Peyton Soest,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe",0,1
36,"November 9, 2021",Home,Carthage,1,05:11,6-6,Away,"Turnover by HERRMANN,LAUREN",0,Lauren Herrmann,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe",0,1
37,"November 9, 2021",Home,Carthage,1,04:56,6-6,Home,"HYNES,GRACE missed 3-pt. jump shot",0,Grace Hynes,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe",0,1
38,"November 9, 2021",Home,Carthage,1,04:53,6-6,Home,"POWE,MARISSA offensive rebound",0,Marissa Powe,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe",0,1
39,"November 9, 2021",Home,Carthage,1,04:49,6-6,Home,"HYNES,GRACE missed layup",0,Grace Hynes,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe",0,1
40,"November 9, 2021",Home,Carthage,1,04:46,6-6,Home,"STEFFENS,KLAIRE offensive rebound",0,Klaire Steffens,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe",0,1
41,"November 9, 2021",Home,Carthage,1,04:32,6-6,Home,"Turnover by STEFFENS,KLAIRE",0,Klaire Steffens,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe",0,1
42,"November 9, 2021",Home,Carthage,1,04:32,6-6,Away,"Steal by THISTLE,EMMA",0,Emma Thistle,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe",0,1
43,"November 9, 2021",Home,Carthage,1,04:18,6-6,Away,"KNIGHT,LAUREN missed 3-pt. jump shot",0,Lauren Knight,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe",0,1
44,"November 9, 2021",Home,Carthage,1,04:15,6-6,Home,"GROSS,ELLIE defensive rebound",0,Ellie Gross,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe",0,1
45,"November 9, 2021",Home,Carthage,1,04:12,6-6,Away,"Foul by THISTLE,EMMA",0,Emma Thistle,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe",0,1
46,"November 9, 2021",Home,Carthage,1,04:12,6-6,Home,20SEC TIMEOUT by Chicago,0,,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe",0,1
47,"November 9, 2021",Home,Carthage,1,04:12,7-6,Home,"POWE,MARISSA made free throw",0,Marissa Powe,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe",1,1
48,"November 9, 2021",Home,Carthage,1,04:12,7-6,Home,"POWE,MARISSA missed free throw",0,Marissa Powe,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe",0,1
49,"November 9, 2021",Home,Carthage,1,04:12,7-6,Away,"THISTLE,EMMA defensive rebound",0,Emma Thistle,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe",0,1
50,"November 9, 2021",Home,Carthage,1,04:12,7-6,Home,"GAO,ASHLEY enters the game",1,Ashley Gao,"Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
51,"November 9, 2021",Home,Carthage,1,04:12,7-6,Home,"STEFFENS,KLAIRE goes to the bench",1,Klaire Steffens,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
52,"November 9, 2021",Home,Carthage,1,04:12,7-6,Away,"EBELING,ADDISON enters the game",1,Addison Ebeling,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
53,"November 9, 2021",Home,Carthage,1,04:12,7-6,Away,"MORRISSEY,MARIANNA enters the game",1,Marianna Morrissey,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
54,"November 9, 2021",Home,Carthage,1,04:12,7-6,Away,"COSHUN,KELSEY goes to the bench",1,Kelsey Coshun,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
55,"November 9, 2021",Home,Carthage,1,04:12,7-6,Away,"KNIGHT,LAUREN goes to the bench",1,Lauren Knight,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
56,"November 9, 2021",Home,Carthage,1,04:02,7-6,Away,"MORRISSEY,MARIANNA missed layup",0,Marianna Morrissey,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
57,"November 9, 2021",Home,Carthage,1,03:59,7-6,Home,"GAO,ASHLEY defensive rebound",0,Ashley Gao,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
58,"November 9, 2021",Home,Carthage,1,03:48,7-6,Away,"Foul by BARRETT,BRIDGET",0,Bridget Barrett,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
59,"November 9, 2021",Home,Carthage,1,03:48,7-6,Away,"COSHUN,KELSEY enters the game",1,Kelsey Coshun,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
60,"November 9, 2021",Home,Carthage,1,03:48,7-6,Away,"BARRETT,BRIDGET goes to the bench",1,Bridget Barrett,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
61,"November 9, 2021",Home,Carthage,1,03:35,9-6,Home,"HYNES,GRACE made jump shot",0,Grace Hynes,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",2,1
62,"November 9, 2021",Home,Carthage,1,03:29,9-6,Away,"HERRMANN,LAUREN missed layup",0,Lauren Herrmann,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
63,"November 9, 2021",Home,Carthage,1,03:26,9-6,Home,"BRODNIK,MALLORY defensive rebound",0,Mallory Brodnik,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
64,"November 9, 2021",Home,Carthage,1,03:09,9-6,Home,"GROSS,ELLIE missed layup",0,Ellie Gross,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
65,"November 9, 2021",Home,Carthage,1,03:06,9-6,Away,"HERRMANN,LAUREN defensive rebound",0,Lauren Herrmann,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
66,"November 9, 2021",Home,Carthage,1,02:58,9-6,Away,"EBELING,ADDISON missed 3-pt. jump shot",0,Addison Ebeling,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
67,"November 9, 2021",Home,Carthage,1,02:55,9-6,Home,"HYNES,GRACE defensive rebound",0,Grace Hynes,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
68,"November 9, 2021",Home,Carthage,1,02:51,9-6,Home,"Turnover by BRODNIK,MALLORY",0,Mallory Brodnik,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao",0,1
69,"November 9, 2021",Home,Carthage,1,02:51,9-6,Home,"STEFFENS,KLAIRE enters the game",1,Klaire Steffens,"Mallory Brodnik, Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens",0,1
70,"November 9, 2021",Home,Carthage,1,02:51,9-6,Home,"BRODNIK,MALLORY goes to the bench",1,Mallory Brodnik,"Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens",0,1
71,"November 9, 2021",Home,Carthage,1,02:51,9-6,Away,"KNIGHT,LAUREN enters the game",1,Lauren Knight,"Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens",0,1
72,"November 9, 2021",Home,Carthage,1,02:51,9-6,Away,"HERRMANN,LAUREN goes to the bench",1,Lauren Herrmann,"Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens",0,1
73,"November 9, 2021",Home,Carthage,1,02:33,9-9,Away,"KNIGHT,LAUREN made 3-pt. jump shot",0,Lauren Knight,"Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens",3,1
74,"November 9, 2021",Home,Carthage,1,02:33,9-9,Away,"Assist by MORRISSEY,MARIANNA",0,Marianna Morrissey,"Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens",0,1
75,"November 9, 2021",Home,Carthage,1,02:19,11-9,Home,"STEFFENS,KLAIRE made layup",0,Klaire Steffens,"Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens",2,1
76,"November 9, 2021",Home,Carthage,1,02:19,11-9,Home,"Assist by GAO,ASHLEY",0,Ashley Gao,"Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens",0,1
77,"November 9, 2021",Home,Carthage,1,02:06,11-9,Away,"Turnover by COSHUN,KELSEY",0,Kelsey Coshun,"Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens",0,1
78,"November 9, 2021",Home,Carthage,1,02:06,11-9,Home,"VAN SOEST,PEYTON enters the game",1,Peyton Soest,"Peyton Van Soest, Grace Hynes, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
79,"November 9, 2021",Home,Carthage,1,02:06,11-9,Home,"HYNES,GRACE goes to the bench",1,Grace Hynes,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
80,"November 9, 2021",Home,Carthage,1,01:48,14-9,Home,"STEFFENS,KLAIRE made 3-pt. jump shot",0,Klaire Steffens,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",3,1
81,"November 9, 2021",Home,Carthage,1,01:48,14-9,Home,"Assist by POWE,MARISSA",0,Marissa Powe,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
82,"November 9, 2021",Home,Carthage,1,01:27,14-9,Away,"Turnover by MORRISSEY,MARIANNA",0,Marianna Morrissey,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
83,"November 9, 2021",Home,Carthage,1,01:27,14-9,Home,"Steal by VAN SOEST,PEYTON",0,Peyton Soest,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
84,"November 9, 2021",Home,Carthage,1,01:23,14-9,Away,"CARSELLO,SAMM enters the game",1,Samm Carsello,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
85,"November 9, 2021",Home,Carthage,1,01:23,14-9,Away,"ESTER,AYANNA enters the game",1,Ayanna Ester,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
86,"November 9, 2021",Home,Carthage,1,01:23,14-9,Away,"COSHUN,KELSEY goes to the bench",1,Kelsey Coshun,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
87,"November 9, 2021",Home,Carthage,1,01:23,14-9,Away,"THISTLE,EMMA goes to the bench",1,Emma Thistle,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
88,"November 9, 2021",Home,Carthage,1,01:19,14-9,Home,"VAN SOEST,PEYTON missed 3-pt. jump shot",0,Peyton Soest,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
89,"November 9, 2021",Home,Carthage,1,01:16,14-9,Away,"ESTER,AYANNA defensive rebound",0,Ayanna Ester,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
90,"November 9, 2021",Home,Carthage,1,00:53,14-9,Away,"Turnover by KNIGHT,LAUREN",0,Lauren Knight,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
91,"November 9, 2021",Home,Carthage,1,00:53,14-9,Home,"Steal by POWE,MARISSA",0,Marissa Powe,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
92,"November 9, 2021",Home,Carthage,1,00:42,14-9,Home,"VAN SOEST,PEYTON missed 3-pt. jump shot",0,Peyton Soest,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
93,"November 9, 2021",Home,Carthage,1,00:39,14-9,Away,"MORRISSEY,MARIANNA defensive rebound",0,Marianna Morrissey,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
94,"November 9, 2021",Home,Carthage,1,00:30,14-12,Away,"EBELING,ADDISON made 3-pt. jump shot",0,Addison Ebeling,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",3,1
95,"November 9, 2021",Home,Carthage,1,00:30,14-12,Away,"Assist by MORRISSEY,MARIANNA",0,Marianna Morrissey,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
96,"November 9, 2021",Home,Carthage,1,00:05,14-12,Home,"Turnover by STEFFENS,KLAIRE",0,Klaire Steffens,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
97,"November 9, 2021",Home,Carthage,1,00:05,14-12,Away,"Steal by MORRISSEY,MARIANNA",0,Marianna Morrissey,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
98,"November 9, 2021",Home,Carthage,1,00:05,14-12,Home,"Foul by POWE,MARISSA",0,Marissa Powe,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
99,"November 9, 2021",Home,Carthage,1,00:00,14-12,Away,"KNIGHT,LAUREN missed jump shot",0,Lauren Knight,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
100,"November 9, 2021",Home,Carthage,1,00:00,14-12,Home,TEAM defensive rebound,0,,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest",0,1
101,"November 9, 2021",Home,Carthage,2,10:00,14-12,Home,"BRODNIK,MALLORY enters the game",1,Mallory Brodnik,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest, Mallory Brodnik",0,1
102,"November 9, 2021",Home,Carthage,2,10:00,14-12,Home,"HYNES,GRACE enters the game",1,Grace Hynes,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest, Mallory Brodnik, Grace Hynes",0,1
103,"November 9, 2021",Home,Carthage,2,10:00,14-12,Home,"SHAW,ELIZABETH enters the game",1,Elizabeth Shaw,"Peyton Van Soest, Ellie Gross, Marissa Powe, Ashley Gao, Klaire Steffens, Peyton Soest, Mallory Brodnik, Grace Hynes, Elizabeth Shaw",0,1
104,"November 9, 2021",Home,Carthage,2,10:00,14-12,Home,"GAO,ASHLEY goes to the bench",1,Ashley Gao,"Peyton Van Soest, Ellie Gross, Marissa Powe, Klaire Steffens, Peyton Soest, Mallory Brodnik, Grace Hynes, Elizabeth Shaw",0,1
105,"November 9, 2021",Home,Carthage,2,10:00,14-12,Home,"GROSS,ELLIE goes to the bench",1,Ellie Gross,"Peyton Van Soest, Marissa Powe, Klaire Steffens, Peyton Soest, Mallory Brodnik, Grace Hynes, Elizabeth Shaw",0,1
106,"November 9, 2021",Home,Carthage,2,10:00,14-12,Home,"POWE,MARISSA goes to the bench",1,Marissa Powe,"Peyton Van Soest, Klaire Steffens, Peyton Soest, Mallory Brodnik, Grace Hynes, Elizabeth Shaw",0,1
107,"November 9, 2021",Home,Carthage,2,09:30,14-14,Away,"CARSELLO,SAMM made jump shot",0,Samm Carsello,"Peyton Van Soest, Klaire Steffens, Peyton Soest, Mallory Brodnik, Grace Hynes, Elizabeth Shaw",2,1
108,"November 9, 2021",Home,Carthage,2,09:30,14-14,Away,"Assist by EBELING,ADDISON",0,Addison Ebeling,"Peyton Van Soest, Klaire Steffens, Peyton Soest, Mallory Brodnik, Grace Hynes, Elizabeth Shaw",0,1
109,"November 9, 2021",Home,Carthage,2,09:12,14-14,Home,"BRODNIK,MALLORY missed layup",0,Mallory Brodnik,"Peyton Van Soest, Klaire Steffens, Peyton Soest, Mallory Brodnik, Grace Hynes, Elizabeth Shaw",0,1
110,"November 9, 2021",Home,Carthage,2,08:56,14-14,Home,"HYNES,GRACE offensive rebound",0,Grace Hynes,"Peyton Van Soest, Klaire Steffens, Peyton Soest, Mallory Brodnik, Grace Hynes, Elizabeth Shaw",0,1
111,"November 9, 2021",Home,Carthage,2,08:49,17-14,Home,"VAN SOEST,PEYTON made 3-pt. jump shot",0,Peyton Soest,"Peyton Van Soest, Klaire Steffens, Peyton Soest, Mallory Brodnik, Grace Hynes, Elizabeth Shaw",3,1
112,"November 9, 2021",Home,Carthage,2,08:49,17-14,Home,"Assist by HYNES,GRACE",0,Grace Hynes,"Peyton Van Soest, Klaire Steffens, Peyton Soest, Mallory Brodnik, Grace Hynes, Elizabeth Shaw",0,1
113,"November 9, 2021",Home,Carthage,2,08:31,17-14,Away,"Turnover by MORRISSEY,MARIANNA",0,Marianna Morrissey,"Peyton Van Soest, Klaire Steffens, Peyton Soest, Mallory Brodnik, Grace Hynes, Elizabeth Shaw",0,1
114,"November 9, 2021",Home,Carthage,2,08:31,17-14,Home,"Steal by VAN SOEST,PEYTON",0,Peyton Soest,"Peyton Van Soest, Klaire Steffens, Peyton Soest, Mallory Brodnik, Grace Hynes, Elizabeth Shaw",0,1
115,"November 9, 2021",Home,Carthage,2,08:14,19-14,Home,"BRODNIK,MALLORY made layup",0,Mallory Brodnik,"Peyton Van Soest, Klaire Steffens, Peyton Soest, Mallory Brodnik, Grace Hynes, Elizabeth Shaw",2,1
116,"November 9, 2021",Home,Carthage,2,08:14,19-14,Home,"Assist by HYNES,GRACE",0,Grace Hynes,"Peyton Van Soest, Klaire Steffens, Peyton Soest, Mallory Brodnik, Grace Hynes, Elizabeth Shaw",0,1
