Team,Game,Wins,URL,Ranking
WashU,4,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Brandeis,5,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,3
Carnegie Mellon,5,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,5
Case Western,5,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,6
Chicago,5,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,8
Emory,5,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,1
NYU,5,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,7
Rochester,5,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,4
WashU,5,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,2
Brandeis,6,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,5
Carnegie Mellon,6,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,6
Case Western,6,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,4
Chicago,6,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,8
Emory,6,5,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,1
NYU,6,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,7
Rochester,6,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,3
WashU,6,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,2
Brandeis,7,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,5
Carnegie Mellon,7,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,4
Case Western,7,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,3
Chicago,7,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,8
Emory,7,5,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,2
NYU,7,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,7
Rochester,7,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,6
WashU,7,5,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Brandeis,8,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,5
Carnegie Mellon,8,5,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,4
Case Western,8,5,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,3
Chicago,8,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,8
Emory,8,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,2
NYU,8,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,7
Rochester,8,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,6
WashU,8,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Brandeis,9,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,5
Carnegie Mellon,9,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,3
Case Western,9,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,2
Chicago,9,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,8
Emory,9,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,4
NYU,9,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,7
Rochester,9,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,6
WashU,9,7,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Brandeis,10,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,5
Carnegie Mellon,10,7,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,3
Case Western,10,7,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,2
Chicago,10,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,8
Emory,10,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,4
NYU,10,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,7
Rochester,10,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,6
WashU,10,8,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Brandeis,11,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,6
Carnegie Mellon,11,7,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,3
Case Western,11,8,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,1
Chicago,11,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,8
Emory,11,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,4
NYU,11,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,7
Rochester,11,5,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,5
WashU,11,8,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,2
Brandeis,12,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,6
Carnegie Mellon,12,7,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,3
Case Western,12,9,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,1
Chicago,12,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,8
Emory,12,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,5
NYU,12,5,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,7
Rochester,12,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,4
WashU,12,8,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,2
Brandeis,13,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,7
Carnegie Mellon,13,7,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,4
Case Western,13,10,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,1
Chicago,13,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,8
Emory,13,7,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,3
NYU,13,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,5
Rochester,13,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,6
WashU,13,9,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,2
Brandeis,14,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,7
Carnegie Mellon,14,7,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,5
Case Western,14,11,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,1
Chicago,14,3,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,8
Emory,14,8,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,3
NYU,14,7,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,4
Rochester,14,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,6
WashU,14,10,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,2
