Team,Game,Wins,URL,Ranking
Brandeis,9,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,8
Carnegie Mellon,9,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,7
Case Western,9,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,6
Emory,9,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,5
Rochester,9,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,4
Chicago,9,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,3
NYU,9,7,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,2
WashU,9,8,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Brandeis,10,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,8
Carnegie Mellon,10,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,7
Rochester,10,4,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,6
Case Western,10,5,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,5
Emory,10,5,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,4
Chicago,10,7,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,3
NYU,10,8,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,2
WashU,10,9,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Brandeis,11,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,8
Carnegie Mellon,11,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,7
Case Western,11,5,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,6
Rochester,11,5,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,5
Emory,11,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,4
Chicago,11,8,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,3
NYU,11,9,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,2
WashU,11,9,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,1
Brandeis,12,1,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/brandeis.png,8
Carnegie Mellon,12,2,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/cmu.png,7
Case Western,12,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/case.png,6
Rochester,12,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/rochester.png,4
Emory,12,6,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/emory.png,5
Chicago,12,8,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/chicago.png,3
NYU,12,10,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/nyu.png,1
WashU,12,9,https://raw.githubusercontent.com/jeremydumalig/Chicago-Analytics/main/washu.png,2
